frame,openness,energy
0,7.4804,0.177137
1,7.4136,0.179866
2,7.2092,0.271234
3,7.5050,0.277229
4,7.8054,0.267376
5,7.7189,0.271723
6,7.8919,0.176385
7,7.1090,0.164794
8,7.2467,0.164244
9,7.1225,0.154573
10,7.2733,0.147160
11,7.3533,0.140638
12,7.4343,0.133518
13,7.3360,0.133906
14,7.4346,0.142100
15,7.5054,0.238885
16,7.5568,0.260625
17,7.6339,0.264756
18,7.6938,0.265983
19,6.8741,0.200565
20,6.4477,0.214903
21,6.5986,0.234025
22,6.5787,0.244827
23,6.7563,0.247689
24,7.4028,0.227799
25,7.4579,0.214617
26,7.9386,0.205669
27,8.0600,0.198409
28,7.3135,0.201562
29,7.2819,0.274819
30,7.2549,0.272034
31,7.3271,0.265932
32,7.6315,0.249076
33,8.1701,0.151057
34,7.6258,0.159811
35,7.3639,0.161741
36,7.1881,0.177365
37,7.1926,0.178798
38,7.2381,0.176297
39,7.4740,0.192272
40,7.6291,0.195713
41,7.2943,0.199681
42,7.2406,0.292235
43,7.2644,0.287912
44,7.4378,0.280557
45,7.4016,0.278482
46,7.1802,0.169632
47,7.5060,0.160358
48,7.4638,0.167356
49,7.1831,0.187475
50,7.0589,0.209430
51,7.3370,0.294567
52,7.4369,0.296494
53,7.7349,0.283820
54,7.8138,0.269943
55,7.3109,0.213748
56,7.0789,0.212444
57,7.2240,0.225247
58,6.9984,0.234226
59,7.1173,0.202930
60,7.7374,0.195846
61,6.8825,0.186865
62,6.9938,0.173733
63,6.8353,0.166167
64,7.4637,0.230816
65,7.6726,0.259418
66,7.7777,0.263402
67,7.7930,0.262829
68,7.5986,0.209170
69,7.5810,0.171258
70,7.5500,0.165819
71,7.5393,0.177488
72,7.5376,0.187491
73,7.6079,0.251695
74,7.6018,0.284006
75,7.7456,0.286695
76,7.7989,0.286986
77,7.9745,0.241409
78,7.5808,0.213047
79,7.4780,0.212721
80,7.5898,0.208376
81,7.6258,0.202090
82,7.9124,0.194937
83,7.8552,0.184041
84,7.0616,0.178166
85,6.8899,0.170366
86,6.8294,0.163533
87,6.5929,0.158847
88,6.5287,0.153969
89,6.6464,0.146705
90,6.5981,0.143088
91,7.5404,0.153259
92,6.2740,0.151705
93,6.6275,0.163982
94,6.8480,0.178583
95,7.1516,0.181374
96,6.9436,0.194132
97,6.2531,0.196254
98,6.3819,0.185488
99,7.5008,0.170463
100,7.7254,0.162132
101,6.6764,0.156657
102,7.2979,0.164587
103,7.1405,0.171414
104,6.4746,0.169137
105,7.0697,0.174954
106,6.9739,0.176376
107,7.1085,0.177487
108,7.1774,0.174807
109,7.4277,0.166391
110,7.5851,0.168986
111,7.4980,0.186324
112,7.6553,0.191046
113,7.7033,0.185252
114,7.5603,0.167369
115,7.6083,0.134309
116,7.6339,0.118542
117,7.6831,0.113824
118,7.5539,0.114275
119,7.3930,0.115197
120,7.9217,0.102316
121,7.8170,0.087349
122,7.7983,0.070885
123,7.6511,0.040656
124,7.4624,0.036658
125,7.0804,0.034476
126,6.5080,0.034610
127,7.0894,0.072096
128,6.3979,0.105700
129,6.4570,0.127553
130,6.6023,0.143071
131,6.6760,0.142413
132,7.6730,0.135723
133,7.2519,0.129950
134,7.4011,0.113527
135,7.5665,0.096009
136,7.2825,0.081070
137,7.3312,0.086037
138,7.1932,0.103235
139,7.1312,0.113755
140,6.9782,0.108382
141,6.1429,0.095507
142,6.4335,0.101152
143,6.4593,0.111732
144,6.2175,0.127914
145,6.9280,0.134445
146,7.1849,0.135967
147,7.0324,0.132348
148,7.2979,0.133351
149,7.3549,0.132618
150,7.3416,0.125328
151,7.4796,0.122952
152,7.6639,0.118270
153,7.1713,0.114340
154,7.3533,0.115558
