frame,openness,energy
0,4.6670,0.011452
1,4.6892,0.152356
2,4.4923,0.211634
3,4.4164,0.216632
4,4.3761,0.216418
5,4.8443,0.157096
6,4.9892,0.147583
7,5.3120,0.170680
8,5.5803,0.171253
9,5.4799,0.168718
10,6.2520,0.104672
11,6.0627,0.100769
12,5.9764,0.127349
13,5.9517,0.138465
14,6.3449,0.134940
15,5.6391,0.097588
16,5.6590,0.056794
17,5.7020,0.014462
18,5.9297,0.001989
19,6.4650,0.000258
20,6.9531,0.000000
21,4.8988,0.000000
22,4.8988,0.000000
23,7.1162,0.000000
24,6.5239,0.000207
25,6.2388,0.000271
26,5.6091,0.001654
27,5.4838,0.002416
28,5.4622,0.089543
29,5.1800,0.200873
30,5.3285,0.205096
31,5.4971,0.205381
32,4.9711,0.185410
33,3.9644,0.050144
34,4.5654,0.031700
35,4.8151,0.034094
36,4.3945,0.034106
37,4.4549,0.034013
38,5.9025,0.036819
39,7.1492,0.035992
40,7.6021,0.037760
41,7.3903,0.032895
42,7.3801,0.029200
43,5.3226,0.044451
44,4.4931,0.060883
45,4.4366,0.064606
46,4.5351,0.064445
47,3.9448,0.054126
48,3.4258,0.031970
49,7.1537,0.025619
50,7.1318,0.025591
51,6.8285,0.043545
52,4.1222,0.048943
53,3.3771,0.047352
54,5.5491,0.045753
55,5.8209,0.027871
56,5.4777,0.025582
57,6.0104,0.035785
58,7.1614,0.037395
59,5.3332,0.046183
60,3.8586,0.058115
61,3.8932,0.057098
62,3.9562,0.057449
63,4.0684,0.051005
64,4.0032,0.029420
65,4.9330,0.019593
66,6.3290,0.018996
67,7.2054,0.021020
68,6.9781,0.021337
69,7.4283,0.020699
70,6.7732,0.022721
71,6.1169,0.034253
72,5.9517,0.040509
73,5.8908,0.040744
74,5.7994,0.038068
75,6.8895,0.025754
76,6.2999,0.026512
77,3.1832,0.044352
78,2.7245,0.053356
79,2.6678,0.053443
80,3.1160,0.048901
81,3.0075,0.035163
82,3.9940,0.045016
83,5.3966,0.052190
84,5.2754,0.052548
85,5.2109,0.052192
86,5.0645,0.033064
87,6.1963,0.019031
88,7.3512,0.015793
89,7.8097,0.010731
90,5.4745,0.047090
91,3.9278,0.070326
92,2.8399,0.071864
93,2.8100,0.074239
94,2.9495,0.059749
95,2.9284,0.043075
96,7.2065,0.045975
97,7.0413,0.043392
98,6.7838,0.042208
99,4.4175,0.035123
100,6.1678,0.031422
101,6.2756,0.030914
102,5.2992,0.029375
103,6.8552,0.021346
104,6.9200,0.015794
105,7.1956,0.026230
106,6.5577,0.030421
107,7.0834,0.031484
108,6.5296,0.031422
109,5.3758,0.021161
110,5.4388,0.013679
111,6.2006,0.007578
112,6.6374,0.003029
113,7.0730,0.000405
114,7.2557,0.000043
115,7.7068,0.000000
116,4.8988,0.000000
117,4.8988,0.000000
118,4.8988,0.000000
119,4.8988,0.000000
120,4.8988,0.000000
121,4.8988,0.000000
122,4.8988,0.000000
123,4.8988,0.000000
124,4.8988,0.000000
125,4.8988,0.000000
126,4.8988,0.000000
127,4.8988,0.000000
128,4.8988,0.000000
129,4.8988,0.000000
130,7.2550,0.000016
131,6.6894,0.000031
132,4.4184,0.002758
133,4.5002,0.020411
134,4.2554,0.058526
135,3.8014,0.077931
136,3.2421,0.080454
137,2.8513,0.081217
138,2.9378,0.063014
